name,short_name,field
1300 SMILES LIMITED,ONT,Health Care Equipment & Services
1414 DEGREES LIMITED,14D,Capital Goods
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
333D LIMITED,T3D,Commercial & Professional Services
360 CAPITAL DIGITAL INFRASTRUCTURE FUND,TDI,Not Applic
360 CAPITAL GROUP,TGP,Real Estate
360 CAPITAL REIT,TOT,Diversified Financials
3D OIL LIMITED,TDO,Energy
3D RESOURCES LIMITED,DDD,Materials
3P LEARNING LIMITED..,3PL,Consumer Services
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8IP EMERGING COMPANIES LIMITED,8EC,Not Applic
8VI HOLDINGS LIMITED,8VI,Consumer Services
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
99 TECHNOLOGY LIMITED,NNT,Software & Services
A-CAP ENERGY LIMITED,ACB,Energy
A1 INVESTMENTS & RESOURCES LTD,AYI,Diversified Financials
A2B AUSTRALIA LIMITED,A2B,Transportation
ABACUS PROPERTY GROUP,ABP,Real Estate
ABILENE OIL AND GAS LIMITED,ABL,Energy
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
ACACIA COAL LIMITED,AJC,Energy
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG,Consumer Services
ACCELERATE RESOURCES LIMITED,AX8,Materials
ACCENT GROUP LIMITED,AX1,Retailing
ACCENT RESOURCES NL,ACS,Materials
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTIVEX LIMITED,AIV,Materials
ACUMENTIS GROUP LIMITED,ACU,Real Estate
AD1 HOLDINGS LIMITED,AD1,Media & Entertainment
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAIRS LIMITED,ADH,Retailing
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADAVALE RESOURCES LIMITED,ADD,Energy
ADBRI LIMITED,ABC,Materials
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADMIRALTY RESOURCES NL.,ADY,Materials
ADRIATIC METALS PLC,ADT,Materials
ADSLOT LTD.,ADS,Software & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components
ADVANCED SHARE REGISTRY LIMITED,ASW,Diversified Financials
ADVERITAS LIMITED,AV1,Software & Services
ADX ENERGY LTD,ADX,Energy
AEERIS LTD,AER,Media & Entertainment
AEON METALS LIMITED.,AML,Materials
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services
AERIS RESOURCES LIMITED,AIS,Materials
AEROMETREX LIMITED,AMX,Commercial & Professional Services
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services
AFFINITY ENERGY AND HEALTH LIMITED,AEB,"Pharmaceuticals, Biotechnology & Life Sciences"
AFG 2019-2 TRUST IN RESPECT OF SERIES 2019-2,AF1,Not Applic
AFRICAN ENERGY RESOURCES LIMITED,AFR,Energy
AFRICAN GOLD LTD.,A1G,Materials
AFT CORPORATION LIMITED,AFT,Technology Hardware & Equipment
